2026/04/20 19:31:00 [error] 205#205: *1130 open() "/var/www/html/SiteLoader" failed (2: No such file or directory), client: 185.213.175.176, server: localhost-nginx-proxy-manager, request: "GET /SiteLoader HTTP/1.1", host: "212.33.46.41"
2026/04/20 19:31:01 [error] 206#206: *1131 open() "/var/www/html/mPlayer" failed (2: No such file or directory), client: 185.213.175.176, server: localhost-nginx-proxy-manager, request: "GET /mPlayer HTTP/1.1", host: "212.33.46.41"
2026/04/20 19:36:24 [error] 206#206: *1170 open() "/var/www/html/boaform/admin/formLogin" failed (2: No such file or directory), client: 117.241.57.177, server: localhost-nginx-proxy-manager, request: "GET /boaform/admin/formLogin?username=admin&psd=admin HTTP/1.0"
2026/04/20 20:00:56 [error] 206#206: *1360 open() "/var/www/html/.env.backup" failed (2: No such file or directory), client: 103.215.75.70, server: localhost-nginx-proxy-manager, request: "GET /.env.backup HTTP/1.1", host: "212.33.46.41"
2026/04/20 20:00:57 [error] 206#206: *1360 open() "/var/www/html/.env.local" failed (2: No such file or directory), client: 103.215.75.70, server: localhost-nginx-proxy-manager, request: "GET /.env.local HTTP/1.1", host: "212.33.46.41"
2026/04/20 20:00:57 [error] 208#208: *1361 open() "/var/www/html/php.php" failed (2: No such file or directory), client: 103.215.75.70, server: localhost-nginx-proxy-manager, request: "GET /php.php HTTP/1.1", host: "212.33.46.41"
2026/04/20 20:00:57 [error] 206#206: *1362 open() "/var/www/html/.env.prod" failed (2: No such file or directory), client: 103.215.75.70, server: localhost-nginx-proxy-manager, request: "GET /.env.prod HTTP/1.1", host: "212.33.46.41"
2026/04/20 20:00:57 [error] 206#206: *1363 open() "/var/www/html/.pgpass" failed (2: No such file or directory), client: 103.215.75.70, server: localhost-nginx-proxy-manager, request: "GET /.pgpass HTTP/1.1", host: "212.33.46.41"
2026/04/20 20:00:57 [error] 206#206: *1364 open() "/var/www/html/phpinfo.php" failed (2: No such file or directory), client: 103.215.75.70, server: localhost-nginx-proxy-manager, request: "GET /phpinfo.php HTTP/1.1", host: "212.33.46.41"
2026/04/20 20:00:57 [error] 208#208: *1366 open() "/var/www/html/info.php" failed (2: No such file or directory), client: 103.215.75.70, server: localhost-nginx-proxy-manager, request: "GET /info.php HTTP/1.1", host: "212.33.46.41"
2026/04/20 20:00:57 [error] 206#206: *1367 open() "/var/www/html/.env" failed (2: No such file or directory), client: 103.215.75.70, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "212.33.46.41"
2026/04/20 20:00:57 [error] 208#208: *1361 open() "/var/www/html/.env.production" failed (2: No such file or directory), client: 103.215.75.70, server: localhost-nginx-proxy-manager, request: "GET /.env.production HTTP/1.1", host: "212.33.46.41"
2026/04/20 20:00:57 [error] 206#206: *1362 open() "/var/www/html/.aws/credentials" failed (2: No such file or directory), client: 103.215.75.70, server: localhost-nginx-proxy-manager, request: "GET /.aws/credentials HTTP/1.1", host: "212.33.46.41"
2026/04/20 20:00:57 [error] 206#206: *1360 open() "/var/www/html/.aws/config" failed (2: No such file or directory), client: 103.215.75.70, server: localhost-nginx-proxy-manager, request: "GET /.aws/config HTTP/1.1", host: "212.33.46.41"
2026/04/20 20:00:57 [error] 206#206: *1363 open() "/var/www/html/test.php" failed (2: No such file or directory), client: 103.215.75.70, server: localhost-nginx-proxy-manager, request: "GET /test.php HTTP/1.1", host: "212.33.46.41"
